ハンドボール,2,1
ソフトボール,5,2
軟式野球ボール,19,5
ラグビーボール,3,1
テニスボール(硬式用),12,3
テニスボール(軟式用),12,3
ゴムボール 大3小6,9,2
野球バット,13,1
バレ-ボール  屋内8 屋外10,18,3
バスケットボール 屋内4 屋外3,7,1
サッカーボール,6,2
テニスラケット 硬式2 軟式2,4,2
バドミントンラケット,8,4
シャトル,999,2
グローブ（右利き用）,7,4
グローブ（左利き用）,6,1
長縄,6,2
なわとび,26,5
バトン,6,2
カラーコーン大,7,4
カラーコーン 小,14,4
ゼッケン 赤8 黄9 青8 緑12,37,37
マーカー,27,4
フリスビー,2,1
