音響セット,4,1
CD・MDデッキ,2,1
無線,161,161
イヤホン,161,161
プロジェクター,7,1
スクリーン,5,1
電源ドラム,5,1
ラミネーター,4,1
拡声器,3,1
アイロン,3,1
マイクスタンド4　卓上スタンド２,6,1
懐中電灯 大2 小9 極小10,21,5
学生歌CD,11,1
